GID,High,Low,nlow,nhigh,ID,N,D,OR,abs[log2(OR)],OR-type,OR-type2,AverageShortestPathLength,BetweennessCentrality,Centrality Tier,ClusteringCoefficient,Indegree,NeighborhoodConnectivity,Outdegree
K00483,3.566013,15.612038,16,4,K00483,57.056208,62.448152,0.913657269,0.130275012,high-metabotype-depleted,high-metabotype-depleted,4.39431397,0,peripheral,1,3,19.66666667,3
K02815,5.10537,18.652708,16,4,K02815,81.68592,74.610832,1.094826553,0.13070233,high-metabotype-depleted,high-metabotype-depleted,4.44348363,0,peripheral,0,0,71,1
K02771,25.92214,94.55955,16,4,K02771,414.75424,378.2382,1.096542443,0.132961655,high-metabotype-depleted,high-metabotype-depleted,7.24076355,0,peripheral,1,3,3.333333333,3
K03274,23.11149,84.28076,16,4,K03274,369.78384,337.12304,1.096880949,0.13340695,high-metabotype-depleted,high-metabotype-depleted,6.52719407,0,peripheral,0,1,3,1
K01876,394.9939,1434.1326,16,4,K01876,6319.9024,5736.5304,1.101694223,0.139723857,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,20,72.3,0
K00423,3.294421,14.527101,16,4,K00423,52.710736,58.108404,0.907110373,0.140649994,high-metabotype-depleted,high-metabotype-depleted,6.223733,0,peripheral,1,4,5,4
K01867,416.337,1505.1436,16,4,K01867,6661.392,6020.5744,1.106437951,0.145922546,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,6,21.33333333,0
K01051,141.7288,509.7786,16,4,K01051,2267.6608,2039.1144,1.112081205,0.153262139,high-metabotype-depleted,high-metabotype-depleted,8.64956737,0,peripheral,0.33333333,1,3.333333333,3
K01132,6.419009,28.565983,16,4,K01132,102.704144,114.263932,0.898832573,0.153875687,high-metabotype-depleted,high-metabotype-depleted,5.45241038,0,peripheral,0,1,35,1
K01209,388.9503,1397.1469,16,4,K01209,6223.2048,5588.5876,1.113555919,0.155174007,high-metabotype-depleted,high-metabotype-depleted,4.64894932,0,peripheral,1,2,35.5,2
K01887,328.365,1178.8713,16,4,K01887,5253.84,4715.4852,1.114167424,0.155966041,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,1,9,19.77777778,0
K01784,831.53,2977.006,16,4,K01784,13304.48,11908.024,1.11727017,0.15997809,high-metabotype-depleted,high-metabotype-depleted,5.03831891,0,peripheral,0.66071429,5,18.875,8
K01627,116.7664,522.769,16,4,K01627,1868.2624,2091.076,0.89344548,0.1625484,high-metabotype-depleted,high-metabotype-depleted,8.2552534,0,peripheral,0,1,2,1
K01880,313.0024,1117.9887,16,4,K01880,5008.0384,4471.9548,1.119876793,0.163340018,high-metabotype-depleted,high-metabotype-depleted,0,0,peripheral,0.95454545,22,53.13636364,0
K01515,508.895,1817.0435,16,4,K01515,8142.32,7268.174,1.120270373,0.163846964,high-metabotype-depleted,high-metabotype-depleted,4.36627548,0,peripheral,1,0,24.71428571,7
