GID,High,Low,nlow,nhigh,ID,N,D,OR,abs[log2(OR)],OR-type,OR-type2,AverageShortestPathLength,BetweennessCentrality,Centrality Tier,ClusteringCoefficient,Indegree,NeighborhoodConnectivity,Outdegree
K00134,430.592,1478.9109,16,4,K00134,6889.472,5915.6436,1.16461918,0.219858284,high-metabotype-depleted,high-metabotype-depleted,3.81520396,5.77E-05,peripheral,0.84980237,21,43,23
K00558,653.046,2324.303,16,4,K00558,10448.736,9297.212,1.123856915,0.16845837,high-metabotype-depleted,high-metabotype-depleted,4.96168109,5.78E-05,peripheral,0.33333333,4,7.5,4
K01095,57.8987,259.67252,16,4,K01095,926.3792,1038.69008,0.891872579,0.165090487,high-metabotype-depleted,high-metabotype-depleted,5.78368356,5.8E-05,peripheral,0.63333333,5,11.66666667,5
K08352,12.7156,45.552652,16,4,K08352,203.4496,182.210608,1.116562873,0.159064491,high-metabotype-depleted,high-metabotype-depleted,4.08590853,5.83E-05,peripheral,0.66666667,13,30.06666667,15
K08354,2.74317,8.2295,16,4,K08354,43.89072,32.918,1.333334954,0.415039252,high-metabotype-depleted,high-metabotype-depleted,4.08590853,5.83E-05,peripheral,0.66666667,13,30.06666667,15
K01241,57.88052,280.78735,16,4,K01241,926.08832,1123.1494,0.824545978,0.278328153,high-metabotype-depleted,high-metabotype-depleted,5.09394314,5.98E-05,peripheral,0.7,11,40.0625,6
K03417,9.43874,45.57645,16,4,K03417,151.01984,182.3058,0.828387468,0.271622367,high-metabotype-depleted,high-metabotype-depleted,4.5512979,6.06E-05,peripheral,0.82900433,22,34.36363636,20
K01008,150.1772,511.2579,16,4,K01008,2402.8352,2045.0316,1.174962382,0.232614568,high-metabotype-depleted,high-metabotype-depleted,4.94066749,6.2E-05,peripheral,0.16666667,2,15,2
K02775,80.675,280.5019,16,4,K02775,1290.8,1122.0076,1.15043784,0.202183035,high-metabotype-depleted,high-metabotype-depleted,4.66069221,6.51E-05,peripheral,0.83333333,4,20.75,4
K02774,92.619,280.41707,16,4,K02774,1481.904,1121.66828,1.321160655,0.401805911,high-metabotype-depleted,high-metabotype-depleted,4.66069221,6.51E-05,peripheral,0.83333333,4,20.75,4
K02773,79.4052,230.65638,16,4,K02773,1270.4832,922.62552,1.377030195,0.461560195,high-metabotype-depleted,high-metabotype-depleted,4.66069221,6.51E-05,peripheral,0.83333333,4,20.75,4
K00253,3.538641,12.27074,16,4,K00253,56.618256,49.08296,1.15352163,0.206045056,high-metabotype-depleted,high-metabotype-depleted,4.276267,6.52E-05,peripheral,0.59090909,12,37.66666667,12
K01817,215.4769,821.3005,16,4,K01817,3447.6304,3285.202,1.049442439,0.069623038,high-metabotype-depleted,high-metabotype-depleted,4.78800989,6.53E-05,peripheral,0.66666667,4,16.5,4
K00042,86.5837,252.08701,16,4,K00042,1385.3392,1008.34804,1.373870078,0.45824558,high-metabotype-depleted,high-metabotype-depleted,3.83559951,6.53E-05,peripheral,0.73076923,13,42.69230769,13
K00691,14.99837,66.038191,16,4,K00691,239.97392,264.152764,0.908466436,0.138494881,high-metabotype-depleted,high-metabotype-depleted,4.84054388,6.64E-05,peripheral,0.51778656,20,36.43478261,15
K02439,23.99796,91.19596,16,4,K02439,383.96736,364.78384,1.052588733,0.073941857,high-metabotype-depleted,high-metabotype-depleted,4.12917182,6.72E-05,peripheral,0.58455882,17,20.47058824,14
K03475,32.92797,150.53089,16,4,K03475,526.84752,602.12356,0.874982404,0.192674091,high-metabotype-depleted,high-metabotype-depleted,6.21508035,6.95E-05,peripheral,0.8,5,5,5
K02821,72.8849,244.34664,16,4,K02821,1166.1584,977.38656,1.193139386,0.254762593,high-metabotype-depleted,high-metabotype-depleted,6.21508035,6.95E-05,peripheral,0.8,5,5,5
K02594,19.491777,67.561257,16,4,K02594,311.868432,270.245028,1.15402098,0.206669452,high-metabotype-depleted,high-metabotype-depleted,4.38071693,7.12E-05,peripheral,0.93813559,59,94.86666667,3
K05351,14.74124,43.27382,16,4,K05351,235.85984,173.09528,1.362601222,0.446363405,high-metabotype-depleted,high-metabotype-depleted,4.62175525,7.15E-05,peripheral,0.5,5,28.6,5
K02793,131.0279,488.7721,16,4,K02793,2096.4464,1955.0884,1.072302613,0.100712104,high-metabotype-depleted,high-metabotype-depleted,4.8473424,7.21E-05,peripheral,0.74444444,10,32.4,9
K02795,223.3303,758.3604,16,4,K02795,3573.2848,3033.4416,1.177963934,0.236295368,high-metabotype-depleted,high-metabotype-depleted,4.8473424,7.21E-05,peripheral,0.74444444,10,32.4,9
K02794,279.0986,874.3899,16,4,K02794,4465.5776,3497.5596,1.276769551,0.352498151,high-metabotype-depleted,high-metabotype-depleted,4.8473424,7.21E-05,peripheral,0.74444444,10,32.4,9
K02796,206.1585,637.18558,16,4,K02796,3298.536,2548.74232,1.29418183,0.372040327,high-metabotype-depleted,high-metabotype-depleted,4.8473424,7.21E-05,peripheral,0.74444444,10,32.4,9
K00094,25.78017,77.3877,16,4,K00094,412.48272,309.5508,1.332520284,0.414157495,high-metabotype-depleted,high-metabotype-depleted,5.08034611,7.27E-05,peripheral,0.35714286,7,9.285714286,6
K00693,11.90677,56.15842,16,4,K00693,190.50832,224.63368,0.848084401,0.237720246,high-metabotype-depleted,high-metabotype-depleted,5.35537701,7.48E-05,peripheral,0.51111111,6,15.4,4
K01800,1.5701,8.33522,16,4,K01800,25.1216,33.34088,0.753477413,0.408363831,high-metabotype-depleted,high-metabotype-depleted,4.93077874,7.7E-05,peripheral,0,2,16,2
K01520,537.922,1897.6419,16,4,K01520,8606.752,7590.5676,1.133874626,0.181261129,high-metabotype-depleted,high-metabotype-depleted,4.4394314,7.82E-05,peripheral,0.63888889,8,41.66666667,8
K00957,152.4656,582.7393,16,4,K00957,2439.4496,2330.9572,1.046544141,0.065633162,high-metabotype-depleted,high-metabotype-depleted,4.93448702,8.08E-05,peripheral,0.875,8,17.5,7
K00956,117.9705,422.3691,16,4,K00956,1887.528,1689.4764,1.117226615,0.159921848,high-metabotype-depleted,high-metabotype-depleted,4.93448702,8.08E-05,peripheral,0.875,8,17.5,7
K01715,117.737,403.61306,16,4,K01715,1883.792,1614.45224,1.166830429,0.222594915,high-metabotype-depleted,high-metabotype-depleted,4.33930779,8.26E-05,peripheral,0.67368421,20,31.15,20
K01598,8.01087,27.82089,16,4,K01598,128.17392,111.28356,1.151777675,0.203862264,high-metabotype-depleted,high-metabotype-depleted,4.68355995,8.4E-05,peripheral,0.63333333,10,20.3,6
K01615,87.4605,250.32427,16,4,K01615,1399.368,1001.29708,1.397555259,0.482905328,high-metabotype-depleted,high-metabotype-depleted,4.47095179,8.52E-05,peripheral,0.86666667,15,30.86666667,15
K00641,32.48409,114.33732,16,4,K00641,519.74544,457.34928,1.136429995,0.184508816,high-metabotype-depleted,high-metabotype-depleted,4.28924598,8.57E-05,peripheral,0.63888889,9,24.66666667,9
K03707,35.24541,170.64452,16,4,K03707,563.92656,682.57808,0.826171506,0.275486792,high-metabotype-depleted,high-metabotype-depleted,5.62608158,8.9E-05,peripheral,0.5,2,8.375,6
K11263,26.44647,92.49928,16,4,K11263,423.14352,369.99712,1.143640037,0.193633032,high-metabotype-depleted,high-metabotype-depleted,4.50679852,9.06E-05,peripheral,0.8655914,61,90.96825397,12
K01523,62.6251,191.16025,16,4,K01523,1002.0016,764.641,1.310420969,0.390030348,high-metabotype-depleted,high-metabotype-depleted,5.1934487,9.17E-05,peripheral,0.8,5,9.4,5
K11264,1.30176,6.5088,16,4,K11264,20.82816,26.0352,0.8,0.321928095,high-metabotype-depleted,high-metabotype-depleted,3.86773795,9.27E-05,peripheral,0.83596838,4,82.56521739,22
K01609,216.5941,847.259,16,4,K01609,3465.5056,3389.036,1.022563821,0.032190888,high-metabotype-depleted,high-metabotype-depleted,4.70148331,9.47E-05,peripheral,0.73333333,6,16,6
K00639,146.4465,633.8469,16,4,K00639,2343.144,2535.3876,0.924175854,0.113760699,high-metabotype-depleted,high-metabotype-depleted,3.723733,9.53E-05,peripheral,0.67011494,22,52.06666667,29
K04516,78.035,380.8401,16,4,K04516,1248.56,1523.3604,0.81960907,0.286992146,high-metabotype-depleted,high-metabotype-depleted,4.17058096,9.57E-05,peripheral,0.66615385,22,27.96153846,26
K01850,58.50318,288.33681,16,4,K01850,936.05088,1153.34724,0.811595023,0.301168077,high-metabotype-depleted,high-metabotype-depleted,4.17058096,9.57E-05,peripheral,0.66615385,22,27.96153846,26
K06209,248.6196,799.2733,16,4,K06209,3977.9136,3197.0932,1.244228226,0.31525114,high-metabotype-depleted,high-metabotype-depleted,4.17058096,9.57E-05,peripheral,0.66615385,22,27.96153846,26
K00088,399.0759,1317.8973,16,4,K00088,6385.2144,5271.5892,1.211250376,0.276497113,high-metabotype-depleted,high-metabotype-depleted,4.60012361,9.65E-05,peripheral,0.77205882,17,44.29411765,14
K00651,327.5643,1179.5552,16,4,K00651,5241.0288,4718.2208,1.110806175,0.151607102,high-metabotype-depleted,high-metabotype-depleted,4.38751545,9.81E-05,peripheral,0.63888889,9,25.22222222,9
K01785,534.971,1959.8864,16,4,K01785,8559.536,7839.5456,1.091840833,0.126762558,high-metabotype-depleted,high-metabotype-depleted,4.4697157,0.00010448,peripheral,0.78623188,23,39.16666667,23
K03473,63.907,283.61252,16,4,K03473,1022.512,1134.45008,0.901328333,0.149875352,high-metabotype-depleted,high-metabotype-depleted,4.90482077,0.00011018,peripheral,0,2,9,2
K10206,322.1296,1058.032,16,4,K10206,5154.0736,4232.128,1.217844451,0.284329877,high-metabotype-depleted,high-metabotype-depleted,6.34487021,0.00011088,peripheral,0.4,6,4.666666667,6
K01591,460.174,1452.2247,16,4,K01591,7362.784,5808.8988,1.267500821,0.341986682,high-metabotype-depleted,high-metabotype-depleted,4.49258344,0.0001112,peripheral,0.64705882,12,39.64705882,15
K00241,99.8858,366.9811,16,4,K00241,1598.1728,1467.9244,1.088729638,0.122645736,high-metabotype-depleted,high-metabotype-depleted,4.0710754,0.00011409,peripheral,0.71827957,31,35.96774194,28
K00240,141.8484,519.5657,16,4,K00240,2269.5744,2078.2628,1.092053613,0.127043686,high-metabotype-depleted,high-metabotype-depleted,4.0710754,0.00011409,peripheral,0.71827957,31,35.96774194,28
K00246,9.75012,34.33784,16,4,K00246,156.00192,137.35136,1.135787225,0.18369259,high-metabotype-depleted,high-metabotype-depleted,4.0710754,0.00011409,peripheral,0.71827957,31,35.96774194,28
K00235,1.37158,6.66004,16,4,K00235,21.94528,26.64016,0.823766824,0.27969207,high-metabotype-depleted,high-metabotype-depleted,4.0710754,0.00011409,peripheral,0.71827957,31,35.96774194,28
K00245,16.20773,51.32654,16,4,K00245,259.32368,205.30616,1.263107157,0.336977036,high-metabotype-depleted,high-metabotype-depleted,4.0710754,0.00011409,peripheral,0.71827957,31,35.96774194,28
K00239,146.1,442.374,16,4,K00239,2337.6,1769.496,1.321054131,0.401689583,high-metabotype-depleted,high-metabotype-depleted,4.0710754,0.00011409,peripheral,0.71827957,31,35.96774194,28
K00244,155.3931,466.0186,16,4,K00244,2486.2896,1864.0744,1.333793115,0.415534907,high-metabotype-depleted,high-metabotype-depleted,4.0710754,0.00011409,peripheral,0.71827957,31,35.96774194,28
K01834,1095.503,3795.761,16,4,K01834,17528.048,15183.044,1.154448871,0.207204279,high-metabotype-depleted,high-metabotype-depleted,4.09147095,0.00011417,peripheral,0.77777778,9,22.66666667,9
K00943,250.8519,793.6702,16,4,K00943,4013.6304,3174.6808,1.264262662,0.338296228,high-metabotype-depleted,high-metabotype-depleted,4.40111248,0.00011544,peripheral,0.48095238,10,45.06666667,13
K03426,209.5069,710.5775,16,4,K03426,3352.1104,2842.31,1.179361294,0.238005752,high-metabotype-depleted,high-metabotype-depleted,4.8776267,0.00011656,peripheral,0.53216374,11,28.52631579,11
K01464,80.302,276.33178,16,4,K01464,1284.832,1105.32712,1.162399779,0.217106334,high-metabotype-depleted,high-metabotype-depleted,5.05871446,0.00011881,peripheral,0,2,12.5,2
K01457,18.23782,58.50792,16,4,K01457,291.80512,234.03168,1.246861621,0.318301362,high-metabotype-depleted,high-metabotype-depleted,3.81458591,0.00012255,peripheral,0.85428571,47,85.28,47
K01473,6.32902,21.500046,16,4,K01473,101.26432,86.000184,1.177489574,0.235714285,high-metabotype-depleted,high-metabotype-depleted,5.42274413,0.00012279,peripheral,0.66666667,3,8.333333333,3
K01474,3.665372,20.543284,16,4,K01474,58.645952,82.173136,0.713687646,0.486635295,high-metabotype-depleted,high-metabotype-depleted,5.42274413,0.00012279,peripheral,0.66666667,3,8.333333333,3
K01847,120.683,498.4668,16,4,K01847,1930.928,1993.8672,0.968433605,0.046274953,high-metabotype-depleted,high-metabotype-depleted,4.17305315,0.00012531,peripheral,0.74210526,20,62.55,16
K01848,20.49469,88.48153,16,4,K01848,327.91504,353.92612,0.926507035,0.110126164,high-metabotype-depleted,high-metabotype-depleted,4.17305315,0.00012531,peripheral,0.74210526,20,62.55,16
K01687,400.4998,1349.6339,16,4,K01687,6407.9968,5398.5356,1.186987968,0.247305311,high-metabotype-depleted,high-metabotype-depleted,4.01668727,0.00012546,peripheral,0.59615385,10,30.23076923,13
K00453,2.38977,8.30788,16,4,K00453,38.23632,33.23152,1.150604005,0.202391397,high-metabotype-depleted,high-metabotype-depleted,4.31087763,0.00012871,peripheral,0.5,6,19.77777778,9
K00003,348.6281,1143.0721,16,4,K00003,5578.0496,4572.2884,1.219968889,0.286844358,high-metabotype-depleted,high-metabotype-depleted,4.52595797,0.00013532,peripheral,0.66666667,10,14.7,10
K01028,40.05908,130.95172,16,4,K01028,640.94528,523.80688,1.223628983,0.291166185,high-metabotype-depleted,high-metabotype-depleted,4.28491965,0.00013536,peripheral,0.73391813,19,35.89473684,19
K03021,0.315682,1.273342,16,4,K03021,5.050912,5.093368,0.991664455,0.01207605,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03040,420.1259,1500.6864,16,4,K03040,6722.0144,6002.7456,1.119823302,0.163271106,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03048,3.62573,12.77007,16,4,K03048,58.01168,51.08028,1.135696202,0.183576967,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03046,294.8557,996.1777,16,4,K03046,4717.6912,3984.7108,1.183948205,0.243605968,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03044,1.773237,5.9367,16,4,K03044,28.371792,23.7468,1.194762747,0.25672416,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03043,308.8546,1005.5861,16,4,K03043,4941.6736,4022.3444,1.228555566,0.29696311,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03010,0.25104,0.804431,16,4,K03010,4.01664,3.217724,1.248286056,0.319948578,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03050,6.17213,18.51639,16,4,K03050,98.75408,74.06556,1.333333333,0.415037499,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03053,4.64913,13.94739,16,4,K03053,74.38608,55.78956,1.333333333,0.415037499,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K13797,0.24774,0.743219,16,4,K13797,3.96384,2.972876,1.333335127,0.41503944,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03060,263.7641,772.9909,16,4,K03060,4220.2256,3091.9636,1.36490145,0.448796788,high-metabotype-depleted,high-metabotype-depleted,4.0315204,0.0001356,peripheral,0.79787234,41,49.625,48
K03852,1.832756,8.926581,16,4,K03852,29.324096,35.706324,0.821257769,0.284092981,high-metabotype-depleted,high-metabotype-depleted,3.8974042,0.00013623,peripheral,0.34736842,4,34.2,16
K01804,162.08,590.3953,16,4,K01804,2593.28,2361.5812,1.098111723,0.135024843,high-metabotype-depleted,high-metabotype-depleted,4.53955501,0.00013664,peripheral,0.33333333,3,29.66666667,3
K00532,51.81152,199.15965,16,4,K00532,828.98432,796.6386,1.040602753,0.057419429,high-metabotype-depleted,high-metabotype-depleted,5.6631644,0.00014169,peripheral,0.9,10,60.7,1
K13950,1.766513,7.67848,16,4,K13950,28.264208,30.71392,0.920240985,0.119916383,high-metabotype-depleted,high-metabotype-depleted,6.30222497,0.00014169,peripheral,0.84795322,17,27.36842105,2
K01665,67.0315,321.6458,16,4,K01665,1072.504,1286.5832,0.833606408,0.262561727,high-metabotype-depleted,high-metabotype-depleted,6.30222497,0.00014169,peripheral,0.84795322,17,27.36842105,2
K00533,156.1379,485.8634,16,4,K00533,2498.2064,1943.4536,1.285446897,0.362270013,high-metabotype-depleted,high-metabotype-depleted,5.6631644,0.00014169,peripheral,0.9,10,60.7,1
K01664,67.6936,207.15049,16,4,K01664,1083.0976,828.60196,1.307138593,0.386412115,high-metabotype-depleted,high-metabotype-depleted,6.30222497,0.00014169,peripheral,0.84795322,17,27.36842105,2
K10796,16.21236,71.88274,16,4,K10796,259.39776,287.53096,0.902155928,0.148551286,high-metabotype-depleted,high-metabotype-depleted,1,0.00014213,peripheral,0,1,8,1
K10795,8.41817,29.43346,16,4,K10795,134.69072,117.73384,1.14402724,0.194121404,high-metabotype-depleted,high-metabotype-depleted,1,0.00014213,peripheral,0,1,8,1
K10793,19.26419,60.623561,16,4,K10793,308.22704,242.494244,1.27106951,0.346042929,high-metabotype-depleted,high-metabotype-depleted,1,0.00014213,peripheral,0,1,8,1
K01753,25.24082,106.441165,16,4,K01753,403.85312,425.76466,0.948536029,0.076225521,high-metabotype-depleted,high-metabotype-depleted,3.34425216,0.00014281,peripheral,0.89943609,56,91.47368421,54
K05993,74.02092,314.22718,16,4,K05993,1184.33472,1256.90872,0.942259928,0.085803004,high-metabotype-depleted,high-metabotype-depleted,5.16440049,0.00014401,peripheral,0.73333333,6,14.16666667,6
K01252,3.71609,12.89547,16,4,K01252,59.45744,51.58188,1.152680748,0.204992992,high-metabotype-depleted,high-metabotype-depleted,5.16440049,0.00014401,peripheral,0.73333333,6,14.16666667,6
K00186,9.6671,29.991695,16,4,K00186,154.6736,119.96678,1.289303589,0.366592011,high-metabotype-depleted,high-metabotype-depleted,4.54326329,0.0001449,peripheral,0.46732026,15,31.16666667,13
K02438,145.0725,454.1437,16,4,K02438,2321.16,1816.5748,1.277767367,0.353625201,high-metabotype-depleted,high-metabotype-depleted,5.0815822,0.00014689,peripheral,0.43333333,10,18,15
K01491,411.8266,1392.6557,16,4,K01491,6589.2256,5570.6228,1.182852589,0.242270291,high-metabotype-depleted,high-metabotype-depleted,4.10877627,0.00014693,peripheral,0.61050725,22,52.375,20
K03476,17.75445,72.01052,16,4,K03476,284.0712,288.04208,0.986214236,0.020027016,high-metabotype-depleted,high-metabotype-depleted,6.86217553,0.00014975,peripheral,0.4,5,5.833333333,5
K00385,14.15583,61.43843,16,4,K00385,226.49328,245.75372,0.921627066,0.117745008,high-metabotype-depleted,high-metabotype-depleted,4.0105068,0.00015059,peripheral,0.55847953,17,27.89473684,16
K00364,8.17046,37.173671,16,4,K00364,130.72736,148.694684,0.879166333,0.185791955,high-metabotype-depleted,high-metabotype-depleted,4.6013597,0.00015716,peripheral,0.65800866,17,39.40909091,12
K00050,62.9031,242.76297,16,4,K00050,1006.4496,971.05188,1.036452965,0.051654647,high-metabotype-depleted,high-metabotype-depleted,3.74536465,0.00015856,peripheral,0.83333333,12,49,12
K00975,697.835,2220.8741,16,4,K00975,11165.36,8883.4964,1.256865484,0.329830253,high-metabotype-depleted,high-metabotype-depleted,4.88318912,0.00015998,peripheral,0.78787879,12,26.5,11
K01955,405.335,1476.2486,16,4,K01955,6485.36,5904.9944,1.098283853,0.135250969,high-metabotype-depleted,high-metabotype-depleted,3.90729295,0.00016086,peripheral,0.62894737,17,46.6,20
K01956,310.4078,1108.0441,16,4,K01956,4966.5248,4432.1764,1.120561176,0.164221414,high-metabotype-depleted,high-metabotype-depleted,3.90729295,0.00016086,peripheral,0.62894737,17,46.6,20
K01954,0.587583,1.697815,16,4,K01954,9.401328,6.79126,1.384327503,0.469185295,high-metabotype-depleted,high-metabotype-depleted,3.90729295,0.00016086,peripheral,0.62894737,17,46.6,20
K00077,271.1445,897.2827,16,4,K00077,4338.312,3589.1308,1.20873611,0.273499311,high-metabotype-depleted,high-metabotype-depleted,4.55253399,0.00016109,peripheral,0.5,4,18,4
K00005,132.3602,419.4275,16,4,K00005,2117.7632,1677.71,1.26229396,0.336047921,high-metabotype-depleted,high-metabotype-depleted,4.20951792,0.00016174,peripheral,0.46153846,10,29.61538462,13
K12251,156.7841,556.7332,16,4,K12251,2508.5456,2226.9328,1.1264577,0.171793139,high-metabotype-depleted,high-metabotype-depleted,4.89245983,0.00016288,peripheral,0.57142857,6,14.875,8
K01493,536.357,1922.4749,16,4,K01493,8581.712,7689.8996,1.115971917,0.158300723,high-metabotype-depleted,high-metabotype-depleted,4.33992583,0.00016733,peripheral,0.57142857,9,42.66666667,14
K00207,5.268467,15.367731,16,4,K00207,84.295472,61.470924,1.371306408,0.455550967,high-metabotype-depleted,high-metabotype-depleted,5.2657602,0.0001703,peripheral,0.67424242,12,20.91666667,10
K01494,53.42555,197.6131,16,4,K01494,854.8088,790.4524,1.081417173,0.112923172,high-metabotype-depleted,high-metabotype-depleted,4.79295426,0.00017296,peripheral,0.54846939,49,39.75510204,49
K00023,59.60563,172.96923,16,4,K00023,953.69008,691.87692,1.378410021,0.463005095,high-metabotype-depleted,high-metabotype-depleted,4.33250927,0.00017311,peripheral,0.8125,17,34.52941176,16
K00705,497.376,1684.8207,16,4,K00705,7958.016,6739.2828,1.180840193,0.239813733,high-metabotype-depleted,high-metabotype-depleted,5.08590853,0.00017544,peripheral,0.66666667,23,38.21428571,7
K01699,6.88021,33.166285,16,4,K01699,110.08336,132.66514,0.829783619,0.269192918,high-metabotype-depleted,high-metabotype-depleted,4.12299135,0.00017642,peripheral,0.13333333,2,32.83333333,4
K01775,322.8903,1193.9277,16,4,K01775,5166.2448,4775.7108,1.081775052,0.113400532,high-metabotype-depleted,high-metabotype-depleted,3.92150803,0.00017944,peripheral,0.49242424,9,53.66666667,12
K00599,1833.392,6615.98,16,4,K00599,29334.272,26463.92,1.108462843,0.14856041,high-metabotype-depleted,high-metabotype-depleted,5.08034611,0.0001809,peripheral,0.5952381,7,16.14285714,1
K00860,68.7778,252.04122,16,4,K00860,1100.4448,1008.16488,1.091532568,0.126355176,high-metabotype-depleted,high-metabotype-depleted,4.60506799,0.00018259,peripheral,0.80555556,8,17.22222222,9
K00798,328.3198,1168.2592,16,4,K00798,5253.1168,4673.0368,1.124133411,0.168813264,high-metabotype-depleted,high-metabotype-depleted,11.83436341,0.00018927,peripheral,0.83333333,1,4,4
K00102,15.76759,74.68036,16,4,K00102,252.28144,298.72144,0.844537439,0.243766714,high-metabotype-depleted,high-metabotype-depleted,3.34425216,0.00018927,peripheral,0.94646465,3,92.23636364,54
K02435,356.7716,1155.2481,16,4,K02435,5708.3456,4620.9924,1.23530729,0.304869966,high-metabotype-depleted,high-metabotype-depleted,4.5500618,0.00018951,peripheral,0.71428571,7,13.71428571,6
K02434,227.6695,735.118,16,4,K02434,3642.712,2940.472,1.238818802,0.308965184,high-metabotype-depleted,high-metabotype-depleted,4.5500618,0.00018951,peripheral,0.71428571,7,13.71428571,6
K02433,233.2994,751.9176,16,4,K02433,3732.7904,3007.6704,1.241090247,0.311608026,high-metabotype-depleted,high-metabotype-depleted,4.5500618,0.00018951,peripheral,0.71428571,7,13.71428571,6
K10783,15.30502,62.12424,16,4,K10783,244.88032,248.49696,0.985445939,0.021151367,high-metabotype-depleted,high-metabotype-depleted,4.26885043,0.00019185,peripheral,0.67028986,24,46.91666667,21
K00013,304.0731,1078.956,16,4,K00013,4865.1696,4315.824,1.127286377,0.172854066,high-metabotype-depleted,high-metabotype-depleted,4.73053152,0.00019271,peripheral,0.44444444,7,12.55555556,8
K01845,123.4806,450.4101,16,4,K01845,1975.6896,1801.6404,1.09660596,0.133045219,high-metabotype-depleted,high-metabotype-depleted,4.64276885,0.00019379,peripheral,0.33333333,3,12.33333333,3
K00634,80.0304,346.887,16,4,K00634,1280.4864,1387.548,0.922841156,0.11584575,high-metabotype-depleted,high-metabotype-depleted,4.36217553,0.00019729,peripheral,0.78095238,15,56.46666667,12
K09903,400.3821,1381.175,16,4,K09903,6406.1136,5524.7,1.159540536,0.213553256,high-metabotype-depleted,high-metabotype-depleted,4.37886279,0.00019889,peripheral,0.56578947,13,41.05,19
K05343,53.40349,183.76122,16,4,K05343,854.45584,735.04488,1.162453972,0.217173592,high-metabotype-depleted,high-metabotype-depleted,5.07787392,0.00020036,intermediate,0.35064935,12,23.68181818,18
K01692,114.2081,449.0802,16,4,K01692,1827.3296,1796.3208,1.017262395,0.02469186,high-metabotype-depleted,high-metabotype-depleted,4.26081582,0.00020071,intermediate,0.44022989,30,27.43333333,29
K00255,0.929827,2.813949,16,4,K00255,14.877232,11.255796,1.321739662,0.402438043,high-metabotype-depleted,high-metabotype-depleted,4.17305315,0.00020483,intermediate,0.54901961,14,38.33333333,18
K04487,663.185,2114.8803,16,4,K04487,10610.96,8459.5212,1.25432158,0.326907271,high-metabotype-depleted,high-metabotype-depleted,9.03708282,0.00020498,intermediate,0.87445887,21,77.77272727,1
K00024,178.0446,672.7154,16,4,K00024,2848.7136,2690.8616,1.058662252,0.082242395,high-metabotype-depleted,high-metabotype-depleted,3.74783684,0.00020515,intermediate,0.65192308,40,73.8,39
K00051,2.0633,6.1899,16,4,K00051,33.0128,24.7596,1.333333333,0.415037499,high-metabotype-depleted,high-metabotype-depleted,3.74783684,0.00020515,intermediate,0.65192308,40,73.8,39
K11381,35.52561,134.09564,16,4,K11381,568.40976,536.38256,1.059709622,0.083668997,high-metabotype-depleted,high-metabotype-depleted,4.08776267,0.00020527,intermediate,0.48550725,23,51.29166667,12
K00472,3.52645,15.84657,16,4,K00472,56.4232,63.38628,0.890148467,0.167882112,high-metabotype-depleted,high-metabotype-depleted,4.65018541,0.00020572,intermediate,0.58928571,7,14.25,7
K00655,514.671,1741.7742,16,4,K00655,8234.736,6967.0968,1.181946546,0.241164791,high-metabotype-depleted,high-metabotype-depleted,5.50803461,0.00020602,intermediate,0.6,10,12.2,9
K13509,3.90528,11.71584,16,4,K13509,62.48448,46.86336,1.333333333,0.415037499,high-metabotype-depleted,high-metabotype-depleted,5.50803461,0.00020602,intermediate,0.6,10,12.2,9
K00856,9.03058,45.4435,16,4,K00856,144.48928,181.774,0.794884197,0.331183399,high-metabotype-depleted,high-metabotype-depleted,4.59826947,0.00021039,intermediate,0.60457516,16,39.5,15
K01438,95.4792,353.843,16,4,K01438,1527.6672,1415.372,1.079339707,0.110149004,high-metabotype-depleted,high-metabotype-depleted,4.54511743,0.00021304,intermediate,0.48888889,8,18,10
K00899,21.96412,79.718996,16,4,K00899,351.42592,318.875984,1.102077101,0.140225158,high-metabotype-depleted,high-metabotype-depleted,5.93016069,0.00021523,intermediate,0.66666667,3,4,3
K00143,0.509948,1.786567,16,4,K00143,8.159168,7.146268,1.141738317,0.191232027,high-metabotype-depleted,high-metabotype-depleted,4.16996292,0.00021869,intermediate,0.6,6,23.5,6
K01607,476.8231,1539.4382,16,4,K01607,7629.1696,6157.7528,1.238953535,0.309122083,high-metabotype-depleted,high-metabotype-depleted,6.11063041,0.00021954,intermediate,0,2,3.5,2
