Gene,SuperPathway,SubPathway,KOAnnot,ERR688534,ERR688548,ERR688557,ERR688560,ERR688561,ERR688574,ERR688580,ERR688581,ERR688589,ERR688613,ERR688615,ERR688623,ERR688627,ERR688632,ERR688635,ERR688638,ERR688642,ERR688650,ERR710424,ERR710426,ERR710427,ERR710428,ERR710429,ERR710430,ERR710431,ERR710432
K00703,Carbohydrate metabolism,Starch_and_sucrose_metabolism,E2.4.1.21 glgA; starch synthase,0.000495631,0.000502895,0.000455647,0.000522056,0.000480971,0.000601949,0.000587904,0.000574168,0.00070845,0.000582748,0.000480763,0.000602635,0.000624692,0.000660047,0,0.000391296,0.000644166,0.000695446,0.000793983,0.000482917,0.000650437,0.000565428,0.000585861,0.000683493,0.000822887,0.000648132
K00705,Carbohydrate metabolism,Starch_and_sucrose_metabolism,malQ; 4-alpha-glucanotransferase,0.000725196,0.000803286,0.000605558,0.00059809,0.000483873,0.000807649,0.000847094,0.000742503,0.000724886,0.000690271,0.000707442,0.000717611,0.000861852,0.000877815,0,0.000487423,0.000639271,0.000877425,0.00105271,0.000651629,0.000833362,0.000749079,0.000810622,0.000699124,0.00105037,0.000757695
K00754,Carbohydrate metabolism,Fructose_and_mannose_metabolism,E2.4.1.-;,0.00216471,0.00366246,0.00243906,0.00266028,0.00240335,0.0028622,0.00286822,0.00317978,0.00287296,0.0032567,0.00298377,0.00275175,0.0031095,0.00297687,0,0.00117653,0.00305627,0.00361804,0.00303108,0.00333792,0.00356571,0.0034518,0.00370166,0.00306454,0.00314561,0.0032383
K00790,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase,0.000875725,0.000880931,0.000840896,0.000959062,0.000798203,0.00103573,0.00110851,0.000892636,0.00112324,0.00106254,0.000927908,0.000974678,0.00115505,0.000958866,0,0.000849482,0.00100718,0.000992059,0.00108101,0.000771788,0.00107666,0.000999236,0.000933523,0.000800739,0.000991734,0.00135525
K00820,Carbohydrate metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,glmS GFPT; glucosamine--fructose-6-phosphate aminotransferase (isomerizing),0.0006612,0.000630857,0.000735696,0.000598892,0.000557221,0.00063677,0.000663563,0.000657578,0.000684157,0.000647044,0.000673362,0.000628711,0.000686882,0.000586755,0,0.000436271,0.000590351,0.000633333,0.000851197,0.000521032,0.000649465,0.000646181,0.000639045,0.000659492,0.000768426,0.000793948
K00822,Carbohydrate metabolism,Propanoate_metabolism,E2.6.1.18; beta-alanine--pyruvate transaminase,7.45E-06,0,0,0,0,8.3E-06,0,0,4.68E-06,0,0,4.86E-06,7.98E-06,0,0,0,5.75E-06,5.56E-06,0,5.87E-06,4.26E-06,4.85E-06,0,0,1.28E-05,0
K00823,Carbohydrate metabolism,Propanoate_metabolism,puuE; 4-aminobutyrate aminotransferase,3.71E-05,4.15E-05,6.07E-05,3.14E-05,0,1.59E-05,4.79E-05,1.32E-05,2.78E-05,5.07E-05,9.17E-06,4.42E-05,1.61E-05,2.09E-05,0,3.76E-05,1.73E-05,4.13E-05,0,1.82E-05,5.12E-05,2.92E-05,1.65E-05,1.08E-05,4.08E-05,2.48E-05
K00830,Carbohydrate metabolism,Glyoxylate_and_dicarboxylate_metabolism,AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase,8.22E-06,9.35E-06,0,0,0,9.26E-06,2.01E-05,1.02E-05,2.6E-05,6.2E-06,0,5.49E-06,1.86E-05,8.98E-06,0,0,6.34E-06,6.56E-06,0,1.32E-05,4.7E-06,0,1.77E-05,1.16E-05,1.52E-05,1.83E-05
K00844,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,HK; hexokinase,0,0,0,0,0,2.56E-05,6.94E-06,9.69E-06,0,0,0,5.05E-06,0,4.87E-06,0,0,5.83E-06,0,0,6.27E-06,4.89E-06,6.77E-06,0,0,0,8.57E-06
K00845,Carbohydrate metabolism,Glycolysis___Gluconeogenesis,glk; glucokinase,0.00135774,0.00119908,0.00105423,0.00112641,0.0012326,0.00121715,0.00120153,0.00126332,0.00120006,0.00112998,0.00123791,0.00142559,0.00122738,0.0012224,0,0.00115933,0.00129817,0.00136822,0.00106111,0.00123188,0.00113819,0.00122519,0.00136105,0.00128963,0.00133935,0.00123445
