ID	CSM5LLGB	CSM6J2H9	CSM79HGR	ESM5GEYX	ESM5GEYY	ESM5GEZ1	ESM5MEAB	ESM5MEB9	ESM5MEC7	ESM5MEDP	ESM5MEE2	ESM5MEEJ	ESM718U9	ESM7F5AE	HSM5MD6S	HSM67VDR	HSM67VDT	HSM6XRQC	HSM6XRTE	HSM7CZ2X	HSM7J4JV	HSMA33J1
gi|110675163|gb|ABG84150.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
gi|1107707|emb|CAA90903.1|	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|11095335|gb|AAG29839.1|AF307842_1	0.0	0.0	1.0	0.0	4.0	4.0	0.0	2.0	1.0	0.0	6.0	5.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0
gi|11127691|gb|AAG31032.1|AF229829_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
gi|114325969|gb|ABI64125.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|1146301|gb|AAA92182.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
gi|11493199|emb|CAC17472.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
gi|115335001|gb|ABI94087.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|115806943|gb|ABJ31059.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|116091057|gb|ABJ56211.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|116091161|gb|ABJ56315.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
gi|116094472|gb|ABJ59624.1|	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|116099871|gb|ABJ65020.1|	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
gi|116100122|gb|ABJ65271.1|	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|116101393|gb|ABJ66539.1|	0.0	0.0	2.0	1.0	9.0	1.0	1.0	8.0	3.0	0.0	4.0	4.0	0.0	6.0	3.0	3.0	5.0	1.0	5.0	3.0	3.0	0.0
gi|116104086|gb|ABJ69228.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|1161380|gb|AAC06117.1|	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|118423883|gb|ABK90273.1|	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0
gi|118433275|gb|EAV39986.1|	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
gi|118442732|dbj|BAF37283.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|118765025|dbj|BAF39204.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
gi|118766126|dbj|BAF40305.1|	0.0	0.0	3.0	4.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	4.0	0.0	2.0	3.0	4.0	3.0	0.0	3.0	2.0	2.0	1.0
gi|119388128|gb|ABL74004.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
gi|1197840|gb|AAB06188.1|	0.0	0.0	3.0	2.0	6.0	0.0	2.0	7.0	3.0	5.0	7.0	12.0	1.0	6.0	7.0	6.0	12.0	0.0	8.0	5.0	0.0	3.0
gi|12007366|gb|AAG45158.1|AF316823_2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
gi|12007369|gb|AAG45161.1|AF316823_5	0.0	0.0	3.0	3.0	5.0	3.0	2.0	5.0	6.0	4.0	6.0	5.0	1.0	4.0	4.0	7.0	6.0	1.0	6.0	4.0	3.0	6.0
gi|122089117|emb|CAL11955.1|	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|1223762|emb|CAA57730.1|	0.0	0.0	2.0	1.0	0.0	3.0	1.0	2.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0
gi|122912963|gb|ABM68042.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
gi|12331004|gb|AAG49420.1|	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|1236529|gb|AAA92925.1|	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
gi|124507388|gb|ABN13675.1|	0.0	0.0	1.0	3.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	2.0	0.0	0.0	1.0
gi|12518380|gb|AAG58771.1|AE005590_6	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|12519243|gb|AAG59436.1|AE005656_4	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|125489040|gb|ABN42680.1|	0.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0
gi|125713017|gb|ABN51509.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
gi|125713103|gb|ABN51595.1|	0.0	0.0	8.0	7.0	9.0	3.0	3.0	4.0	7.0	6.0	5.0	7.0	2.0	7.0	6.0	8.0	10.0	2.0	6.0	4.0	3.0	2.0
gi|125714139|gb|ABN52631.1|	0.0	0.0	1.0	0.0	2.0	0.0	0.0	4.0	1.0	1.0	1.0	2.0	0.0	5.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0
gi|125715257|gb|ABN53749.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|12581464|gb|AAG59609.1|	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
gi|12584217|gb|AAG59831.1|AF329731_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|12584864|gb|AAG59862.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|12655802|gb|AAK00598.1|	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|12667493|gb|AAK01457.1|AF337811_2	0.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	3.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0
gi|12802352|gb|AAK07836.1|AF305888_3	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|1297373|gb|AAB81559.1|	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
gi|13182951|gb|AAK15003.1|AF233372_1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|13194568|gb|AAK15465.1|AF305636_1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|13194574|gb|AAK15468.1|AF305918_1	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|1321625|dbj|BAA12704.1|	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
gi|1334249|emb|CAA29137.1|	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
gi|13358804|dbj|BAB33148.1|	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
gi|1336047|gb|AAC45510.1|	0.0	0.0	2.0	9.0	1.0	2.0	0.0	3.0	1.0	0.0	2.0	1.0	0.0	5.0	3.0	3.0	2.0	0.0	1.0	1.0	2.0	2.0
gi|13423510|gb|AAK24010.1|	0.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
